Preparation of the Reporter;3
Presentation of the Reporter;12
Clarifying questions<br /> from the Opponent;2
Preparation of the Opponent;3
The Opponent’s speech;5
Discussion between<br /> the Reporter and the Opponent;5
General discussion<br /> between the teams ;5
Concluding remarks<br /> by the Reporter;1
Questions from the Jury;10
Remarks from the Jury;5
